"","2.1.2.Proporción de la población con inseguridad alimentaria moderada o severa (carencia por acceso a la alimentación)","",""
"Atzitzihuacán","","","32.6"
"Atzitzintla","","","47.1"
"Axutla","","","27.5"
"Ayotoxco de Guerrero","","","27.4"
"Calpan","","","20.9"
"Caltepec","","","24.3"
"Camocuautla","","","42.8"
"Caxhuacan","","","31.6"
"Coatepec","","","34.6"
"Coatzingo","","","27.6"
"Cohetzala","","","29.3"
"Cohuecan","","","32.5"
"Coronango","","","26.8"
"Coxcatlán","","","21.5"
"Coyomeapan","","","33.8"
"Coyotepec","","","28.1"
"Cuapiaxtla de Madero","","","27.9"
"Cuautempan","","","25.6"
"Cuautinchán","","","27.5"
"Cuautlancingo","","","28.8"
"Cuayuca de Andrade","","","34.4"
"Cuetzalan del Progreso","","","31.2"
"Cuyoaco","","","27.1"
"Chalchicomula de Sesma","","","22.5"
"Chapulco","","","16.8"
"Chiautla","","","22.8"
"Chiautzingo","","","19.5"
"Chiconcuautla","","","39.4"
"Chichiquila","","","42.3"
"Chietla","","","24.9"
"Chigmecatitlán","","","25.3"
"Chignahuapan","","","28.3"
"Chignautla","","","23.1"
"Chila","","","35.7"
"Chila de la Sal","","","24.1"
"Honey","","","26.6"
"Chilchotla","","","39"
"Chinantla","","","25.6"
"Domingo Arenas","","","23.6"
"Eloxochitlán","","","36.8"
"Epatlán","","","32.6"
"Esperanza","","","30.9"
"Francisco Z. Mena","","","38.3"
"General Felipe Ángeles","","","25.5"
"Guadalupe","","","28"
"Guadalupe Victoria","","","22.2"
"Hermenegildo Galeana","","","43.2"
"Huaquechula","","","25.5"
"Huatlatlauca","","","35.3"
"Huauchinango","","","18"
"Huehuetla","","","33.1"
"Huehuetlán el Chico","","","24.5"
"Huejotzingo","","","27.7"
"Hueyapan","","","30.3"
"Hueytamalco","","","24.2"
"Hueytlalpan","","","34.6"
"Huitzilan de Serdán","","","44.6"
"Huitziltepec","","","31.7"
"Atlequizayan","","","28.2"
"Ixcamilpa de Guerrero","","","28.8"
"Ixcaquixtla","","","24.6"
"Ixtacamaxtitlán","","","31.8"
"Ixtepec","","","32.9"
"Izúcar de Matamoros","","","23.3"
"Jalpan","","","34.3"
"Jolalpan","","","35"
"Jonotla","","","31.9"
"Jopala","","","41.6"
"Juan C. Bonilla","","","24.5"
"Juan Galindo","","","30.2"
"Juan N. Méndez","","","40.4"
"Lafragua","","","25.1"
"Libres","","","22.6"
"La Magdalena Tlatlauquitepec","","","32.1"
"Mazapiltepec de Juárez","","","36.2"
"Mixtla","","","28.9"
"Molcaxac","","","33.5"
"Cañada Morelos","","","28.4"
"Naupan","","","27.9"
"Nauzontla","","","30.1"
"Nealtican","","","19.4"
"Nicolás Bravo","","","23.2"
"Nopalucan","","","24.6"
"Ocotepec","","","25.2"
"Ocoyucan","","","22"
"Olintla","","","27.6"
"Oriental","","","22.3"
"Pahuatlán","","","32"
"Palmar de Bravo","","","27.2"
"Pantepec","","","35.5"
"Petlalcingo","","","24.7"
"Piaxtla","","","27.8"
"Puebla","","","28.2"
"Quecholac","","","23.3"
"Quimixtlán","","","31.8"
"Rafael Lara Grajales","","","16.9"
"Los Reyes de Juárez","","","32.6"
"San Andrés Cholula","","","15.1"
"San Antonio Cañada","","","51.7"
"San Diego la Mesa Tochimiltzingo","","","32.6"
"San Felipe Teotlalcingo","","","21.1"
"San Felipe Tepatlán","","","38.6"
"San Gabriel Chilac","","","31.6"
"San Gregorio Atzompa","","","19.7"
"San Jerónimo Tecuanipan","","","22.9"
"San Jerónimo Xayacatlán","","","27.5"
"San José Chiapa","","","26.6"
"San José Miahuatlán","","","23.1"
"San Juan Atenco","","","21.5"
"San Juan Atzompa","","","27.7"
"San Martín Texmelucan","","","27.8"
"San Martín Totoltepec","","","27.3"
"San Matías Tlalancaleca","","","23.1"
"San Miguel Ixitlán","","","24.6"
"San Miguel Xoxtla","","","24.8"
"San Nicolás Buenos Aires","","","26"
"San Nicolás de los Ranchos","","","27.7"
"San Pablo Anicano","","","28"
"San Pedro Cholula","","","11.1"
"San Pedro Yeloixtlahuaca","","","25.7"
"San Salvador el Seco","","","25.6"
"San Salvador el Verde","","","25.5"
"San Salvador Huixcolotla","","","36.5"
"San Sebastián Tlacotepec","","","34.3"
"Santa Catarina Tlaltempan","","","22.5"
"Santa Inés Ahuatempan","","","27.5"
"Santa Isabel Cholula","","","29.6"
"Santiago Miahuatlán","","","22.6"
"Huehuetlán el Grande","","","28.9"
"Santo Tomás Hueyotlipan","","","28.9"
"Soltepec","","","29.7"
"Tecali de Herrera","","","35.4"
"Tecamachalco","","","28.7"
"Tecomatlán","","","22.6"
"Tehuacán","","","28"
"Tehuitzingo","","","23.5"
"Tenampulco","","","32.7"
"Teopantlán","","","25.9"
"Teotlalco","","","26"
"Tepanco de López","","","23.2"
"Tepango de Rodríguez","","","43.2"
"Tepatlaxco de Hidalgo","","","21.3"
"Tepeaca","","","16.8"
"Tepemaxalco","","","22.5"
"Tepeojuma","","","23.8"
"Tepetzintla","","","39.8"
"Tepexco","","","24.9"
"Tepexi de Rodríguez","","","33.4"
"Tepeyahualco","","","30.7"
"Tepeyahualco de Cuauhtémoc","","","29.4"
"Tetela de Ocampo","","","28.6"
"Teteles de Avila Castillo","","","37"
"Teziutlán","","","29.8"
"Tianguismanalco","","","26.5"
"Tilapa","","","29.7"
"Tlacotepec de Benito Juárez","","","30.6"
"Tlacuilotepec","","","40.3"
"Tlachichuca","","","20.8"
"Tlahuapan","","","22.3"
"Tlaltenango","","","25.9"
"Tlanepantla","","","38.5"
"Tlaola","","","44.2"
"Tlapacoya","","","44.8"
"Tlapanalá","","","25.2"
"Tlatlauquitepec","","","20.7"
"Tlaxco","","","42.2"
"Tochimilco","","","32.1"
"Tochtepec","","","36.8"
"Totoltepec de Guerrero","","","36.8"
"Tulcingo","","","19.3"
"Tuzamapan de Galeana","","","29.4"
"Tzicatlacoyan","","","40"
"Venustiano Carranza","","","32"
"Vicente Guerrero","","","64.2"
"Xayacatlán de Bravo","","","28.5"
"Xicotepec","","","26.2"
"Xicotlán","","","32.9"
"Xiutetelco","","","26"
"Xochiapulco","","","28.1"
"Xochiltepec","","","33.7"
"Xochitlán de Vicente Suárez","","","27.2"
"Xochitlán Todos Santos","","","32.1"
"Yaonáhuac","","","24.1"
"Yehualtepec","","","28.3"
"Zacapala","","","36.5"
"Zacapoaxtla","","","22.3"
"Zacatlán","","","20.1"
"Zapotitlán","","","20"
"Zapotitlán de Méndez","","","34.5"
"Zaragoza","","","27.1"
"Zautla","","","37.6"
"Zihuateutla","","","42.5"
"Zinacatepec","","","22.8"
"Zongozotla","","","28.8"
"Zoquiapan","","","33.1"
"Zoquitlán","","","42.4"
"Querétaro","15.8","19.8","21.3"
"Amealco de Bonfil","","","33"
"Pinal de Amoles","","","31"
"Arroyo Seco","","","21.7"
"Cadereyta de Montes","","","19.2"
"Colón","","","29.2"
"Corregidora","","","11.1"
"Ezequiel Montes","","","27"
"Huimilpan","","","25.6"
"Jalpan de Serra","","","31.6"
"Landa de Matamoros","","","26.7"
"El Marqués","","","33.2"
"Pedro Escobedo","","","30.7"
"Peñamiller","","","32.5"
"Querétaro","","","18"
"San Joaquín","","","23.4"
"San Juan del Río","","","22.5"
"Tequisquiapan","","","16.2"
"Tolimán","","","21.4"
"Quintana Roo","23.2","18.6","21.8"
"Cozumel","","","21"
"Felipe Carrillo Puerto","","","27.1"
"Isla Mujeres","","","24.2"
"Othón P. Blanco","","","29"
"Benito Juárez","","","18"
"José María Morelos","","","29.5"
"Lázaro Cárdenas","","","22.1"
"Solidaridad","","","21.9"
"Tulum","","","30.8"
"Bacalar","","",""
"Puerto Morelos","","",""
"San Luis Potosí","21.6","24.7","30.1"
"Ahualulco","","","36.4"
"Alaquines","","","36.8"
"Aquismón","","","55.7"
"Armadillo de los Infante","","","25.6"
"Cárdenas","","","23.3"
"Catorce","","","32.8"
"Cedral","","","27.9"
"Cerritos","","","28"
"Cerro de San Pedro","","","30.4"
"Ciudad del Maíz","","","43.6"
"Ciudad Fernández","","","26.2"
"Tancanhuitz","","","38"
"Ciudad Valles","","","27.9"
"Coxcatlán","","","43.1"
"Charcas","","","33"
"Ebano","","","34.7"
"Guadalcázar","","","34.6"
"Huehuetlán","","","43.3"
"Lagunillas","","","21.9"
"Matehuala","","","25"
"Mexquitic de Carmona","","","41"
"Moctezuma","","","45.5"
"Rayón","","","33.6"
"Rioverde","","","28.4"
"Salinas","","","43.5"
"San Antonio","","","37.7"
"San Ciro de Acosta","","","20.3"
"San Luis Potosí","","","20.2"
"San Martín Chalchicuautla","","","47.8"
"San Nicolás Tolentino","","","19.9"
"Santa Catarina","","","42.1"
"Santa María del Río","","","33.9"
"Santo Domingo","","","40.3"
"San Vicente Tancuayalab","","","47.3"
"Soledad de Graciano Sánchez","","","24"
"Tamasopo","","","41.7"
"Tamazunchale","","","46.6"
"Tampacán","","","49.7"
"Tampamolón Corona","","","46.3"
"Tamuín","","","36.2"
"Tanlajás","","","51.9"
"Tanquián de Escobedo","","","42.1"
"Tierra Nueva","","","20.7"
"Vanegas","","","32.9"
"Venado","","","37.7"
"Villa de Arriaga","","","34.6"
"Villa de Guadalupe","","","44.2"
"Villa de la Paz","","","30.8"
"Villa de Ramos","","","31.8"
"Villa de Reyes","","","42.7"
"Villa Hidalgo","","","26.2"
"Villa Juárez","","","21.2"
"Axtla de Terrazas","","","43.3"
"Xilitla","","","37.8"
"Zaragoza","","","41"
"Villa de Arista","","","32.8"
"Matlapa","","","49.1"
"El Naranjo","","","26.3"
"Sinaloa","29.6","25.9","24.5"
"Ahome","","","26.1"
"Angostura","","","26.5"
"Badiraguato","","","30.4"
"Concordia","","","33.3"
"Cosalá","","","43.7"
"Culiacán","","","21.3"
"Choix","","","31.6"
"Elota","","","32"
"Escuinapa","","","27.5"
"El Fuerte","","","31.3"
"Guasave","","","30.9"
"Mazatlán","","","16.8"
"Mocorito","","","27.7"
"Rosario","","","32.1"
"Salvador Alvarado","","","22"
"San Ignacio","","","26.8"
"Sinaloa","","","35.7"
"Navolato","","","21"
"Sonora","24.9","26","25.8"
"Aconchi","","","24.2"
"Agua Prieta","","","25.8"
"Alamos","","","25.6"
"Altar","","","21.3"
"Arivechi","","","23.2"
"Arizpe","","","22.5"
"Atil","","","23.6"
"Bacadéhuachi","","","28.6"
"Bacanora","","","7.6"
"Bacerac","","","34.2"
"Bacoachi","","","19.7"
"Bácum","","","30"
"Banámichi","","","23.6"
"Baviácora","","","22.2"
"Bavispe","","","18.6"
"Benjamín Hill","","","18.5"
"Caborca","","","28"
"Cajeme","","","25.4"
"Cananea","","","17.4"
"Carbó","","","31"
"La Colorada","","","14.6"
"Cucurpe","","","28.8"
"Cumpas","","","19.3"
"Divisaderos","","","26"
"Empalme","","","28.5"
"Etchojoa","","","51.1"
"Fronteras","","","20.3"
"Granados","","","17.4"
"Guaymas","","","28.8"
"Hermosillo","","","20.6"
"Huachinera","","","32.9"
"Huásabas","","","17.4"
"Huatabampo","","","47.2"
"Huépac","","","13.3"
"Imuris","","","21.5"
"Magdalena","","","22.1"
"Mazatán","","","16.7"
"Moctezuma","","","15.6"
"Naco","","","21.4"
"Nácori Chico","","","28.1"
"Nacozari de García","","","17.1"
"Navojoa","","","32.7"
"Nogales","","","24.2"
"Onavas","","","21.4"
"Opodepe","","","33.3"
"Oquitoa","","","15.5"
"Pitiquito","","","26.1"
"Puerto Peñasco","","","23.1"
"Quiriego","","","27.1"
"Rayón","","","14.3"
"Rosario","","","30.6"
"Sahuaripa","","","31.3"
"San Felipe de Jesús","","","13.4"
"San Javier","","","22.9"
"San Luis Río Colorado","","","27.8"
"San Miguel de Horcasitas","","","24.9"
"San Pedro de la Cueva","","","7.8"
"Santa Ana","","","19.3"
"Santa Cruz","","","32.8"
"Sáric","","","29.9"
"Soyopa","","","14.4"
"Suaqui Grande","","","21.4"
"Tepache","","","30"
"Trincheras","","","33.4"
"Tubutama","","","36.5"
"Ures","","","18.4"
"Villa Hidalgo","","","18"
"Villa Pesqueira","","","10.5"
"Yécora","","","18.4"
"General Plutarco Elías Calles","","","50"
"Benito Juárez","","","42.5"
"San Ignacio Río Muerto","","","48.7"
"Tabasco","45","33.4","33.3"
"Balancán","","","34.1"
"Cárdenas","","","41.3"
"Centla","","","36.1"
"Centro","","","28.6"
"Comalcalco","","","40.6"
"Cunduacán","","","30.7"
"Emiliano Zapata","","","20.2"
"Huimanguillo","","","39.2"
"Jalapa","","","26.4"
"Jalpa de Méndez","","","28.6"
"Jonuta","","","35.5"
"Macuspana","","","36.6"
"Nacajuca","","","27.9"
"Paraíso","","","35.2"
"Tacotalpa","","","36.3"
"Teapa","","","34.8"
"Tenosique","","","27.6"
"Tamaulipas","19.5","19.2","13.6"
"Abasolo","","","24.8"
"Aldama","","","26.5"
"Altamira","","","14.7"
"Antiguo Morelos","","","15.5"
"Burgos","","","36.9"
"Bustamante","","","23.1"
"Camargo","","","13.6"
"Casas","","","27.6"
"Ciudad Madero","","","9.2"
"Cruillas","","","43.7"
"Gómez Farías","","","28.1"
"González","","","21.1"
"Güémez","","","23.1"
"Guerrero","","","8.8"
"Gustavo Díaz Ordaz","","","12.3"
"Hidalgo","","","12.7"
"Jaumave","","","25.1"
"Jiménez","","","11.8"
"Llera","","","23.8"
"Mainero","","","11.5"
"El Mante","","","13.3"
"Matamoros","","","14"
"Méndez","","","22.1"
"Mier","","","7.2"
"Miguel Alemán","","","12.4"
"Miquihuana","","","23.1"
"Nuevo Laredo","","","12.3"
"Nuevo Morelos","","","22.4"
"Ocampo","","","17.6"
"Padilla","","","14.9"
"Palmillas","","","19.5"
"Reynosa","","","12.2"
"Río Bravo","","","17.6"
"San Carlos","","","19.3"
"San Fernando","","","22.5"
"San Nicolás","","","28"
"Soto la Marina","","","26.6"
"Tampico","","","9.1"
"Tula","","","28.4"
"Valle Hermoso","","","13.2"
"Victoria","","","11.7"
"Villagrán","","","12.2"
"Xicoténcatl","","","11.8"
"Tlaxcala","24","28.4","24.1"
"Amaxac de Guerrero","","","20.7"
"Apetatitlán de Antonio Carvajal","","","21.2"
"Atlangatepec","","","33.5"
"Atltzayanca","","","21.8"
"Apizaco","","","27.4"
"Calpulalpan","","","17.4"
"El Carmen Tequexquitla","","","22.9"
"Cuapiaxtla","","","26.3"
"Cuaxomulco","","","28.9"
"Chiautempan","","","19.1"
"Muñoz de Domingo Arenas","","","19.6"
"Españita","","","23.6"
"Huamantla","","","26.2"
"Hueyotlipan","","","29.4"
"Ixtacuixtla de Mariano Matamoros","","","23.2"
"Ixtenco","","","17.6"
"Mazatecochco de José María Morelos","","","21.3"
"Contla de Juan Cuamatzi","","","18.7"
"Tepetitla de Lardizábal","","","33.9"
"Sanctórum de Lázaro Cárdenas","","","16.1"
"Nanacamilpa de Mariano Arista","","","18.5"
"Acuamanala de Miguel Hidalgo","","","23.6"
"Natívitas","","","35.6"
"Panotla","","","24.1"
"San Pablo del Monte","","","29.7"
"Santa Cruz Tlaxcala","","","24.8"
"Tenancingo","","","22.9"
"Teolocholco","","","21"
"Tepeyanco","","","24.5"
"Terrenate","","","26.4"
"Tetla de la Solidaridad","","","21.2"
"Tetlatlahuca","","","24.6"
"Tlaxcala","","","22.9"
"Tlaxco","","","30.1"
"Tocatlán","","","25.7"
"Totolac","","","20.4"
"Ziltlaltépec de Trinidad Sánchez Santos","","","29.2"
"Tzompantepec","","","25.5"
"Xaloztoc","","","25.4"
"Xaltocan","","","24.9"
"Papalotla de Xicohténcatl","","","22.3"
"Xicohtzinco","","","17.1"
"Yauhquemehcan","","","20.5"
"Zacatelco","","","27.5"
"Benito Juárez","","","21.6"
"Emiliano Zapata","","","31.2"
"Lázaro Cárdenas","","","28.3"
"La Magdalena Tlaltelulco","","","25.2"
"San Damián Texóloc","","","18.9"
"San Francisco Tetlanohcan","","","14.5"
"San Jerónimo Zacualpan","","","17.4"
"San José Teacalco","","","27"
"San Juan Huactzinco","","","27.1"
"San Lorenzo Axocomanitla","","","22.8"
"San Lucas Tecopilco","","","18.9"
"Santa Ana Nopalucan","","","30.8"
"Santa Apolonia Teacalco","","","29"
"Santa Catarina Ayometla","","","15.9"
"Santa Cruz Quilehtla","","","15.3"
"Santa Isabel Xiloxoxtla","","","26.3"
"Veracruz de Ignacio de la Llave","30","28.2","26.1"
"Acajete","","","22"
"Acatlán","","","30.6"
"Acayucan","","","22.9"
"Actopan","","","21.8"
"Acula","","","29.7"
"Acultzingo","","","33.5"
"Camarón de Tejeda","","","25.5"
"Alpatláhuac","","","30.1"
"Alto Lucero de Gutiérrez Barrios","","","29.2"
"Altotonga","","","23.7"
"Alvarado","","","24.1"
"Amatitlán","","","24.7"
"Naranjos Amatlán","","","13"
"Amatlán de los Reyes","","","21"
"Angel R. Cabada","","","26.8"
"La Antigua","","","15.7"
"Apazapan","","","17.8"
"Aquila","","","47"
"Astacinga","","","31.1"
"Atlahuilco","","","29.4"
"Atoyac","","","24.3"
"Atzacan","","","20.7"
"Atzalan","","","22.8"
"Tlaltetela","","","32.6"
"Ayahualulco","","","25.8"
"Banderilla","","","34.5"
"Benito Juárez","","","40.7"
"Boca del Río","","","18.9"
"Calcahualco","","","31"
"Camerino Z. Mendoza","","","12.2"
"Carrillo Puerto","","","30.3"
"Catemaco","","","26.3"
"Cazones de Herrera","","","42.1"
"Cerro Azul","","","15.5"
"Citlaltépetl","","","22.1"
"Coacoatzintla","","","18.1"
"Coahuitlán","","","43.1"
"Coatepec","","","19.2"
"Coatzacoalcos","","","27.6"
"Coatzintla","","","33.3"
"Coetzala","","","38"
"Colipa","","","29.3"
"Comapa","","","34.4"
"Córdoba","","","16.3"
"Cosamaloapan de Carpio","","","22.2"
"Cosautlán de Carvajal","","","30.9"
"Coscomatepec","","","45.9"
"Cosoleacaque","","","33.7"
"Cotaxtla","","","26.7"
"Coxquihui","","","33"
"Coyutla","","","27.1"
"Cuichapa","","","37.4"
"Cuitláhuac","","","21.8"
"Chacaltianguis","","","20.9"
"Chalma","","","31.1"
"Chiconamel","","","30.4"
"Chiconquiaco","","","24.9"
"Chicontepec","","","36.4"
"Chinameca","","","25.3"
"Chinampa de Gorostiza","","","24.1"
"Las Choapas","","","39.5"
"Chocamán","","","23.9"
"Chontla","","","21.7"
"Chumatlán","","","35"
"Emiliano Zapata","","","26.3"
"Espinal","","","30"
"Filomeno Mata","","","56.4"
"Fortín","","","25.5"
"Gutiérrez Zamora","","","22.9"
"Hidalgotitlán","","","33.1"
"Huatusco","","","21"
"Huayacocotla","","","23.6"
"Hueyapan de Ocampo","","","26.1"
"Huiloapan de Cuauhtémoc","","","24.1"
"Ignacio de la Llave","","","31.8"
"Ilamatlán","","","45.8"
"Isla","","","24.6"
"Ixcatepec","","","32.8"
"Ixhuacán de los Reyes","","","26"
"Ixhuatlán del Café","","","26.9"
"Ixhuatlancillo","","","30.1"
"Ixhuatlán del Sureste","","","25.5"
"Ixhuatlán de Madero","","","38.5"
"Ixmatlahuacan","","","29.3"
"Ixtaczoquitlán","","","16.5"
"Jalacingo","","","25.3"
"Xalapa","","","21.6"
"Jalcomulco","","","26.6"
"Jáltipan","","","22.4"
"Jamapa","","","21.2"
"Jesús Carranza","","","27.2"
"Xico","","","25.6"
"Jilotepec","","","21.2"
"Juan Rodríguez Clara","","","26.7"
"Juchique de Ferrer","","","20.3"
"Landero y Coss","","","19.2"
"Lerdo de Tejada","","","27.1"
"Magdalena","","","28.4"
"Maltrata","","","21.9"
"Manlio Fabio Altamirano","","","20.1"
"Mariano Escobedo","","","35.8"
"Martínez de la Torre","","","22.3"
"Mecatlán","","","45.9"
"Mecayapan","","","51.4"
"Medellín de Bravo","","","29.7"
"Miahuatlán","","","25.9"
"Las Minas","","","31.4"
"Minatitlán","","","34.5"
"Misantla","","","23.7"
"Mixtla de Altamirano","","","39.6"
"Moloacán","","","28.7"
"Naolinco","","","20.8"
"Naranjal","","","35.5"
"Nautla","","","21.8"
"Nogales","","","25.6"
"Oluta","","","21.1"
"Omealca","","","22.5"
"Orizaba","","","18.5"
"Otatitlán","","","27.1"
"Oteapan","","","31.3"
"Ozuluama de Mascareñas","","","35.8"
"Pajapan","","","26.7"
"Pánuco","","","23.5"
"Papantla","","","31.9"
"Paso del Macho","","","33.2"
"Paso de Ovejas","","","15.3"
"La Perla","","","32.1"
"Perote","","","30.4"
"Platón Sánchez","","","28.6"
"Playa Vicente","","","32.4"
"Poza Rica de Hidalgo","","","23.6"
"Las Vigas de Ramírez","","","23.2"
"Pueblo Viejo","","","25.3"
"Puente Nacional","","","26.9"
"Rafael Delgado","","","22.8"
"Rafael Lucio","","","28.2"
"Los Reyes","","","32.1"
"Río Blanco","","","21.3"
"Saltabarranca","","","17.8"
"San Andrés Tenejapan","","","25.7"
"San Andrés Tuxtla","","","20.3"
"San Juan Evangelista","","","30.8"
"Santiago Tuxtla","","","22.9"
"Sayula de Alemán","","","32.4"
"Soconusco","","","21.9"
"Sochiapa","","","30"
"Soledad Atzompa","","","39.5"
"Soledad de Doblado","","","23.4"
"Soteapan","","","48.9"
"Tamalín","","","25"
"Tamiahua","","","25.2"
"Tampico Alto","","","27.5"
"Tancoco","","","24.6"
"Tantima","","","22.2"
"Tantoyuca","","","39.4"
"Tatatila","","","27.3"
"Castillo de Teayo","","","26.6"
"Tecolutla","","","31.1"
"Tehuipango","","","37.3"
"Álamo Temapache","","","32.5"
"Tempoal","","","34.2"
"Tenampa","","","28.6"
"Tenochtitlán","","","24.5"
"Teocelo","","","22.7"
"Tepatlaxco","","","31.2"
"Tepetlán","","","20.2"
"Tepetzintla","","","31.3"
"Tequila","","","37.1"
"José Azueta","","","28.2"
"Texcatepec","","","38.2"
"Texhuacán","","","24.8"
"Texistepec","","","33"
"Tezonapa","","","36.2"
"Tierra Blanca","","","21.3"
"Tihuatlán","","","29.4"
"Tlacojalpan","","","29.7"
"Tlacolulan","","","27.2"
"Tlacotalpan","","","28.8"
"Tlacotepec de Mejía","","","27"
"Tlachichilco","","","28.7"
"Tlalixcoyan","","","24.4"
"Tlalnelhuayocan","","","19.2"
"Tlapacoyan","","","20.6"
"Tlaquilpa","","","36.9"
"Tlilapan","","","23.2"
"Tomatlán","","","15.1"
"Tonayán","","","29.6"
"Totutla","","","28.4"
"Tuxpan","","","33.5"
"Tuxtilla","","","23.7"
"Ursulo Galván","","","17.2"
"Vega de Alatorre","","","17.4"
"Veracruz","","","21.7"
"Villa Aldama","","","27"
"Xoxocotla","","","38.3"
"Yanga","","","19.8"
"Yecuatla","","","25.9"
"Zacualpan","","","30"
"Zaragoza","","","36.6"
"Zentla","","","23"
"Zongolica","","","29.4"
"Zontecomatlán de López y Fuentes","","","48.5"
"Zozocolco de Hidalgo","","","32.6"
"Agua Dulce","","","22.2"
"El Higo","","","23.9"
"Nanchital de Lázaro Cárdenas del Río","","","21.1"
"Tres Valles","","","24.1"
"Carlos A. Carrillo","","","26.1"
"Tatahuicapan de Juárez","","","26.6"
"Uxpanapa","","","31.9"
"San Rafael","","","22.8"
"Santiago Sochiapan","","","45.2"
"Yucatán","18.4","25.1","21.4"
"Abalá","","","25.2"
"Acanceh","","","23.9"
"Akil","","","17.9"
"Baca","","","29.4"
"Bokobá","","","21.5"
"Buctzotz","","","24.3"
"Cacalchén","","","20.5"
"Calotmul","","","21.8"
"Cansahcab","","","20.4"
"Cantamayec","","","21"
"Celestún","","","23.8"
"Cenotillo","","","20.9"
"Conkal","","","18.3"
"Cuncunul","","","22.5"
"Cuzamá","","","24.2"
"Chacsinkín","","","33.6"
"Chankom","","","26.2"
"Chapab","","","26.1"
"Chemax","","","48.7"
"Chicxulub Pueblo","","","27.2"
"Chichimilá","","","26.2"
"Chikindzonot","","","44.8"
"Chocholá","","","25.6"
"Chumayel","","","23.9"
"Dzán","","","25.1"
"Dzemul","","","31.7"
"Dzidzantún","","","25"
"Dzilam de Bravo","","","46.4"
"Dzilam González","","","20.4"
"Dzitás","","","23.7"
"Dzoncauich","","","27.5"
"Espita","","","32.1"
"Halachó","","","28.1"
"Hocabá","","","26.3"
"Hoctún","","","23.3"
"Homún","","","21.8"
"Huhí","","","22.5"
"Hunucmá","","","22.4"
"Ixil","","","28.6"
"Izamal","","","18.7"
"Kanasín","","","27.9"
"Kantunil","","","25.1"
"Kaua","","","18.5"
"Kinchil","","","26.6"
"Kopomá","","","24.7"
"Mama","","","21.7"
"Maní","","","27.1"
"Maxcanú","","","19.2"
"Mayapán","","","39.7"
"Mérida","","","18"
"Mocochá","","","29.9"
"Motul","","","19.6"
"Muna","","","18.6"
"Muxupip","","","22.5"
"Opichén","","","20.9"
"Oxkutzcab","","","21.3"
"Panabá","","","22.5"
"Peto","","","24.6"
"Progreso","","","14.9"
"Quintana Roo","","","22.8"
"Río Lagartos","","","18.3"
"Sacalum","","","19.4"
"Samahil","","","27.5"
"Sanahcat","","","27.3"
"San Felipe","","","27.6"
"Santa Elena","","","24.9"
"Seyé","","","23"
"Sinanché","","","19.3"
"Sotuta","","","28.4"
"Sucilá","","","20.9"
"Sudzal","","","28.8"
"Suma","","","21.7"
"Tahdziú","","","52.3"
"Tahmek","","","19.3"
"Teabo","","","28.6"
"Tecoh","","","24.8"
"Tekal de Venegas","","","21.8"
"Tekantó","","","22.6"
"Tekax","","","20.1"
"Tekit","","","23.1"
"Tekom","","","18.8"
"Telchac Pueblo","","","19.1"
"Telchac Puerto","","","28.3"
"Temax","","","26.5"
"Temozón","","","27.9"
"Tepakán","","","24"
"Tetiz","","","26.7"
"Teya","","","25.5"
"Ticul","","","17.5"
"Timucuy","","","23.5"
"Tinum","","","24.4"
"Tixcacalcupul","","","32.6"
"Tixkokob","","","15.6"
"Tixmehuac","","","25.6"
"Tixpéhual","","","23.6"
"Tizimín","","","22.5"
"Tunkás","","","23.1"
"Tzucacab","","","23.1"
"Uayma","","","41"
"Ucú","","","18.4"
"Umán","","","29.7"
"Valladolid","","","27"
"Xocchel","","","25.6"
"Yaxcabá","","","31"
"Yaxkukul","","","23.9"
"Yobaín","","","22.1"
"Zacatecas","16.8","22.3","24.9"
"Apozol","","","18"
"Apulco","","","22.7"
"Atolinga","","","14.5"
"Benito Juárez","","","16.9"
"Calera","","","24"
"Cañitas de Felipe Pescador","","","23.1"
"Concepción del Oro","","","20.7"
"Cuauhtémoc","","","25.1"
"Chalchihuites","","","26.9"
"Fresnillo","","","26.2"
"Trinidad García de la Cadena","","","11.9"
"Genaro Codina","","","34.7"
"General Enrique Estrada","","","27.5"
"General Francisco R. Murguía","","","28.9"
"El Plateado de Joaquín Amaro","","","8"
"General Pánfilo Natera","","","30.8"
"Guadalupe","","","20.3"
"Huanusco","","","15.4"
"Jalpa","","","19.6"
"Jerez","","","14.4"
"Jiménez del Teul","","","27.9"
"Juan Aldama","","","23.5"
"Juchipila","","","8.7"
"Loreto","","","27.3"
"Luis Moya","","","24.9"
"Mazapil","","","43.1"
"Melchor Ocampo","","","36.7"
"Mezquital del Oro","","","20.7"
"Miguel Auza","","","30.6"
"Momax","","","12.6"
"Monte Escobedo","","","12.8"
"Morelos","","","17.4"
"Moyahua de Estrada","","","13"
"Nochistlán de Mejía","","","19.4"
"Noria de Ángeles","","","29.9"
"Ojocaliente","","","28.6"
"Pánuco","","","31.9"
"Pinos","","","37.4"
"Río Grande","","","21.7"
"Sain Alto","","","28.2"
"El Salvador","","","22.6"
"Sombrerete","","","22.9"
"Susticacán","","","16.7"
"Tabasco","","","20.7"
"Tepechitlán","","","16.7"
"Tepetongo","","","10.5"
"Teúl de González Ortega","","","8.7"
"Tlaltenango de Sánchez Román","","","21.9"
"Valparaíso","","","28.5"
"Vetagrande","","","23.3"
"Villa de Cos","","","26.7"
"Villa García","","","25.3"
